0 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
0 qid:1 1:0.0 2:0 3:0.0 4:0.8 5:0.0
0 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
0 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
0 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
0 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
2 qid:1 1:0.2 2:0 3:0.1 4:1.0 5:0.7
2 qid:1 1:0.3 2:0 3:0.0 4:1.0 5:0.0
0 qid:1 1:0.2 2:0 3:0.1 4:1.0 5:0.0
1 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
2 qid:1 1:0.2 2:0 3:0.1 4:0.8 5:0.0
1 qid:1 1:0.2 2:0 3:0.0 4:1.0 5:0.0
2 qid:1 1:0.2 2:0 3:0.1 4:0.6 5:0.0
2 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
2 qid:1 1:0.2 2:0 3:0.3 4:0.8 5:0.0
2 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
0 qid:1 1:0.0 2:0 3:0.0 4:0.8 5:0.0
0 qid:1 1:0.0 2:0 3:0.0 4:1.0 5:0.0
2 qid:1 1:0.2 2:0 3:0.0 4:0.8 5:0.3
1 qid:2 1:0.3 2:0 3:0.0 4:1.0 5:0.0
1 qid:2 1:0.0 2:0 3:0.0 4:0.8 5:0.0
3 qid:2 1:0.3 2:0 3:0.2 4:-0.8 5:0.0
1 qid:2 1:0.3 2:0 3:0.0 4:1.0 5:0.0
3 qid:2 1:0.0 2:0 3:0.0 4:1.0 5:0.0
0 qid:2 1:0.3 2:0 3:0.0 4:1.0 5:0.0
2 qid:2 1:0.3 2:0 3:0.0 4:0.6 5:0.0
2 qid:2 1:0.0 2:1 3:0.0 4:1.0 5:0.0
1 qid:2 1:0.3 2:0 3:0.0 4:1.0 5:0.1
2 qid:2 1:0.3 2:0 3:0.1 4:1.0 5:0.0
2 qid:2 1:0.3 2:0 3:0.0 4:1.0 5:0.0
1 qid:2 1:0.3 2:0 3:0.0 4:-0.4 5:0.4
3 qid:2 1:0.4 2:0 3:0.1 4:-0.4 5:0.0
3 qid:2 1:0.0 2:0 3:0.0 4:1.0 5:0.0
1 qid:2 1:0.3 2:0 3:0.0 4:1.0 5:0.0
3 qid:2 1:0.4 2:0 3:0.4 4:-1.4 5:0.0
1 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
2 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
1 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
1 qid:3 1:0.3 2:0 3:0.0 4:0.6 5:0.0
1 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
1 qid:3 1:0.2 2:0 3:0.2 4:1.0 5:0.0
2 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
1 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
0 qid:3 1:0.2 2:0 3:0.0 4:1.0 5:0.1
2 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
1 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.1
1 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
2 qid:3 1:0.3 2:0 3:0.0 4:0.6 5:0.1
2 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.0
1 qid:3 1:0.0 2:0 3:0.0 4:1.0 5:0.0
2 qid:3 1:0.0 2:0 3:0.0 4:1.0 5:0.0
0 qid:3 1:0.2 2:0 3:0.7 4:0.4 5:0.5
1 qid:3 1:0.0 2:0 3:0.0 4:1.0 5:0.0
1 qid:3 1:0.3 2:0 3:0.0 4:1.0 5:0.1
2 qid:4 1:0.4 2:0 3:0.1 4:0.8 5:0.2
1 qid:4 1:0.4 2:0 3:0.0 4:1.0 5:0.0
2 qid:4 1:0.4 2:0 3:0.1 4:0.8 5:0.0
